Log Time,RPM,TPS,IAP,HO2,HO2 Wideband,IGN,STP,GEAR,CLUTCH,NT,BOOST,IP,AP,CLT,IAT,BATT,PAIR,FUEL1,FUEL2,FUEL3,FUEL4,HOX_ON,ECU_COV1,IAP_8bit,PRESSURE,ECU_AN15,DUTY,TARGET_BOOST,OVERBOOST,GEAR_IGN_RETARD,BOOST_IGN_RETARD,TOTAL_IGN_RETARD,PRIMARY_INJ,SECONDARY_INJ,New Data Rate %,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.410,57,58,95,380,83,26,0,Out,TRUE,255,126,184,70,8,177,0,1675,1713,1625,1650,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.410,128,241,18,52,97,8,8,1,5,161,1,16,161,1,127,255,255,13,240,57,126,70,71,184,177,95,0,255,116,41,255,6,139,6,177,6,89,6,114,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.488,57,62,93,372,83,26,0,Out,TRUE,255,122,184,70,5,178,0,1786,1713,1728,1800,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.488,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,132,57,122,70,71,184,178,93,0,255,116,41,255,6,250,6,177,6,192,7,8,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.563,57,63,93,372,83,26,0,Out,TRUE,255,122,185,70,8,180,0,1719,1638,1636,1678,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.563,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,14,211,57,122,70,71,185,180,93,0,255,116,41,255,6,183,6,102,6,100,6,142,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.638,57,64,93,372,83,26,0,Out,TRUE,255,120,184,70,5,178,0,1639,1619,1598,1658,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.638,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,15,139,57,120,70,71,184,178,93,0,255,116,41,255,6,103,6,83,6,62,6,122,255,255,83,83,83,83,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.714,57,64,93,372,83,26,0,Out,TRUE,255,120,184,70,8,179,0,1661,1552,1587,1622,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.714,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,217,57,120,70,72,184,179,93,0,255,116,41,255,6,125,6,16,6,51,6,86,255,255,82,83,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.788,58,62,93,372,82,26,0,Out,TRUE,255,122,184,70,5,178,0,1737,1638,1664,1712,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.788,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,14,209,58,122,70,71,184,178,93,0,255,116,41,255,6,201,6,102,6,128,6,176,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.863,57,63,93,372,82,26,0,Out,TRUE,255,121,184,70,8,178,0,1647,1621,1647,1650,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.863,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,218,57,121,70,71,184,178,93,0,255,116,41,255,6,111,6,85,6,111,6,114,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:02.941,57,58,93,372,82,26,0,Out,TRUE,255,126,184,70,5,177,0,1674,1699,1605,1728,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:02.941,128,241,18,52,97,8,8,1,5,161,1,16,161,1,119,255,255,14,76,57,126,70,71,184,177,93,0,255,116,41,255,6,138,6,163,6,69,6,192,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.016,57,56,93,372,82,26,0,Out,TRUE,255,128,184,70,8,177,0,1723,1656,1731,1695,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.016,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,14,159,57,128,70,71,184,177,93,0,255,116,41,255,6,187,6,120,6,195,6,159,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.090,58,56,93,372,82,26,0,Out,TRUE,255,129,185,70,5,180,0,1685,1685,1631,1716,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
00:00:03.090,128,241,18,52,97,8,8,1,5,161,1,16,161,1,118,255,255,14,134,58,129,70,72,185,180,93,0,255,116,41,255,6,149,6,149,6,95,6,180,255,255,82,82,82,82,255,26,255,255,25,48,0,5,0,255,255,0,
00:00:03.165,58,55,93,372,82,26,0,Out,TRUE,255,129,184,70,8,179,0,1775,1713,1735,1716,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
